States,Normalised Length,Normalised H,Normalised S,Normalised C,Normalised Hydrophobic,Normalised Hydrophilic
1,0.090697674,0.097560976,0.086956522,0,0.019005456,0.010663717
1,0.11744186,0.195121951,0.152173913,0.416666667,0.019005456,0.019159292
1,0.06627907,0.12195122,0.086956522,0.25,0.010598336,0.008451327
1,0.143023256,0.073170732,0.152173913,0,0.029067168,0.020619469
1,0.11744186,0.146341463,0.043478261,0.25,0.015070208,0.021725664
1,0.075581395,0.073170732,0.086956522,0.166666667,0,0.003318584
1,0.262790698,0.292682927,0.326086957,0.083333333,0.079912351,0.025044248
1,0.030232558,0.12195122,0.086956522,0,0.001117968,0.003318584
1,0.077906977,0.048780488,0,0,0.010598336,0.012168142
1,0.054651163,0,0.130434783,0.083333333,0.003890529,0.00920354
1,0.072093023,0.097560976,0.152173913,0.166666667,0.01676952,0.006238938
1,0.034883721,0.048780488,0.108695652,0.083333333,0.172703694,0.154115044
1,0.074418605,0.170731707,0.065217391,0.166666667,0.024013952,0.022123894
1,0.2,0.219512195,0,0.083333333,0.451077721,0.395265487
1,0.061627907,0.097560976,0.065217391,0,0.297916108,0.239646018
1,0.210465116,0.146341463,0.108695652,0,0.038547536,0.035752212
1,0.080232558,0.536585366,0.260869565,0.333333333,0.190054557,0.15300885
1,0.069767442,0.170731707,0.086956522,0.166666667,0.124094446,0.094380531
1,0.111627907,0.170731707,0.086956522,0.083333333,0.020660048,0.023584071
1,0.46744186,0.414634146,0.282608696,0.583333333,0.13581075,0.130132743
1,0.019767442,0.048780488,0.02173913,0.083333333,0.001117968,0
1,0.029069767,0.073170732,0.02173913,0.083333333,0.003890529,0.001106195
1,0.040697674,0.073170732,0,0,0.003890529,0.004778761
1,0.044186047,0.097560976,0.065217391,0.083333333,0.007244433,0.003672566
1,0.047674419,0.073170732,0,0,0.01117968,0.002212389
1,0.062790698,0.097560976,0.086956522,0.083333333,0.007244433,0.009557522
1,0.068604651,0.048780488,0.217391304,0,0.015070208,0.006238938
1,0.072093023,0.073170732,0.065217391,0.083333333,0.015651552,0.00699115
1,0.081395349,0.097560976,0.043478261,0.166666667,0.014533584,0.010663717
1,0.081395349,0.12195122,0.02173913,0,0.012297648,0.012168142
1,0.08255814,0.024390244,0.217391304,0.083333333,0.02235936,0.005884956
1,0.094186047,0.12195122,0.130434783,0,0.044137376,0.022477876
1,0.189534884,0.195121951,0.02173913,0.25,0.04190144,0.036504425
1,0.069767442,0.097560976,0.108695652,0.083333333,0.244834988,0.194690265
1,0.003488372,0.073170732,0.043478261,0.083333333,0.351578571,0.291283186
1,0.153488372,0.195121951,0,0,0.141981934,0.145265487
